id,preco
64615,5759
83338,15563
26411,4669
62530,1064
11665,6738
49924,7411
76008,3611
64433,4689
29534,2565
5147,3651
38761,14819
95016,6381
93157,16650
4732,1501
85309,1307
89575,5857
79720,7731
37177,3646
10926,2106
82878,2954
29405,1127
27572,11973
65544,8020
79279,5661
44565,4456
21321,14951
29420,3922
25775,2226
7707,2027
18326,1455
61881,12246
3137,10304
48944,2776
12201,1005
73928,4070
64893,7901
24821,2124
38089,4301
64260,13687
64583,6216
86355,1323
37908,18634
88714,2218
26138,2961
13103,3063
12834,1686
35462,10687
56008,13546
56359,9984
98246,3923
39224,13862
49151,6449
98025,708
32290,1598
73444,5356
13046,10128
1256,9977
81087,5502
43393,12219
19602,2382
27229,493
71855,12753
59106,1327
97575,892
27192,2975
94997,4428
13978,1429
42836,1245
60711,2085
90360,2190
11704,11232
94494,2912
51701,3008
4173,1117
88536,1641
15114,1583
55211,16461
98876,1615
6355,11412
89441,5854
21219,2632
97225,891
56488,1010
17539,11348
8919,5808
30882,3761
44297,4709
87122,9215
54683,901
71165,8349
79467,2521
357,857
88445,6970
45201,3010
99530,2016
124,3517
48775,7618
32943,4043
6388,6413
42029,6817
80467,12740
26779,19561
72867,1816
18173,7084
165,1265
54818,10884
82234,2846
67460,2711
37387,8999
37190,1149
3089,7555
12364,2192
23686,6466
18318,10424
72546,2588
20544,7433
76180,7750
97445,1318
46672,12467
90271,5122
64562,1810
88464,13900
3145,3005
93345,2321
55997,2597
89230,5092
73332,6847
26644,4137
90720,16257
46411,16905
19035,1379
29934,6778
61568,3587
13456,8432
46870,12565
75143,8738
96780,12879
58543,6712
64721,1938
54385,19824
83422,3591
75827,14463
67593,6120
48256,2538
339,2240
42700,4950
38985,1637
65342,14903
79065,1685
39184,3021
75329,5266
66812,12774
88593,3122
55508,2517
86624,5325
986,6440
49405,3319
16573,7675
30534,2456
82815,3553
93810,10766
98307,3336
44277,2255
43707,7619
78367,9360
23136,4284
35563,6887
48952,10712
17897,2173
37406,1621
33764,862
98714,1266
57125,4552
8898,11968
2220,1540
5528,8725
97910,16523
48767,7947
29443,3975
9784,13144
52811,7383
19977,4532
21385,4530
16160,2294
17547,1958
24895,1122
49866,2836
99246,1768
23670,1325
26433,3034
78608,3275
39555,2741
15220,7077
72930,3181
44723,3753
82735,968
210,2711
19889,8223
35527,6236
82442,9660
7361,5885
31730,8280
47888,3198
92281,3710
77089,2749
60091,1011
21611,2943
17261,14679
17877,11558
84385,975
59538,19112
31891,8668
37372,10928
31246,5097
11715,730
73052,1036
34928,10430
97375,2715
4742,3026
28106,608
23455,2297
66370,8848
77127,2406
88184,1298
97839,2534
91020,2571
92204,13359
55369,8591
36278,5535
75455,1244
98922,1419
10998,3720
70197,6507
9526,4091
96721,925
84807,8112
60937,7160
68827,3108
69890,3687
56977,5228
91954,3353
27502,4428
66600,1649
18764,1504
55830,1962
65358,3039
66128,2024
95977,4965
7879,6685
19230,1522
8901,4776
10076,6470
73587,8253
49542,10714
83638,2331
71993,13368
8335,3427
64305,4161
21422,1646
76161,20473
1352,1705
92913,12301
45774,13085
73676,4909
37695,4726
67411,5052
3387,5137
65726,550
63302,12345
39612,9911
82713,1417
31347,4157
43550,3804
98034,2325
98181,5972
26115,5772
53224,1171
4023,9851
43344,4238
21698,6715
58628,10124
22072,3457
60677,2786
93478,9300
44992,2153
63165,6352
50425,2261
48236,5748
47663,8075
66532,5008
17420,8745
76512,3368
1244,21038
47132,9001
72096,8654
19395,3551
25474,2872
44503,5551
10970,4421
33094,1052
57114,6315
37991,10942
66813,18447
97888,4098
13206,3822
5399,17579
79147,13581
27494,1407
39822,2940
80537,8373
27200,10164
95517,9775
44056,8326
42954,1633
68745,1802
42971,14033
6883,3585
44641,1185
11883,1499
48354,11408
54568,1959
99178,10796
20683,5054
3760,14225
82870,4016
41843,1726
31149,6904
90750,5709
17145,4816
59831,6750
35603,6057
8811,12535
88787,6147
58921,6988
32557,6948
65940,1612
98099,15276
97462,10940
5004,17933
54093,11010
5003,21049
66515,1721
53903,1299
56832,3070
6676,3173
73495,3120
16109,12087
42736,10691
20221,6247
68304,6170
92692,1256
6451,1484
69761,2548
10978,5582
31454,4338
15486,14785
51920,6072
16263,9239
57877,13914
73183,5947
36592,679
85092,2236
61012,2124
62706,1469
88758,2021
75184,10629
88918,6332
18939,18658
58375,6830
41480,3630
